BEGIN_YEARMONTH,BEGIN_DAY,BEGIN_TIME,END_YEARMONTH,END_DAY,END_TIME,EPISODE_ID,EVENT_ID,STATE,STATE_FIPS,YEAR,MONTH_NAME,EVENT_TYPE,CZ_TYPE,CZ_FIPS,CZ_NAME,WFO,BEGIN_DATE_TIME,CZ_TIMEZONE,END_DATE_TIME,INJURIES_DIRECT,INJURIES_INDIRECT,DEATHS_DIRECT,DEATHS_INDIRECT,DAMAGE_PROPERTY,DAMAGE_CROPS,SOURCE,MAGNITUDE,MAGNITUDE_TYPE,FLOOD_CAUSE,CATEGORY,TOR_F_SCALE,TOR_LENGTH,TOR_WIDTH,TOR_OTHER_WFO,TOR_OTHER_CZ_STATE,TOR_OTHER_CZ_FIPS,TOR_OTHER_CZ_NAME,BEGIN_RANGE,BEGIN_AZIMUTH,BEGIN_LOCATION,END_RANGE,END_AZIMUTH,END_LOCATION,BEGIN_LAT,BEGIN_LON,END_LAT,END_LON,EPISODE_NARRATIVE,EVENT_NARRATIVE,DATA_SOURCE
201701,15,2200,201701,16,900,112890,674454,KENTUCKY,21,2017,0001-01-01,Dense Fog,Z,8,MARSHALL,PAH,15-JAN-17 22:00:00,CST-6,16-JAN-17 09:00:00,0,0,0,0,0.00K,0.00K,ASOS,,,,,,,,,,,,,,,,,,,,,,Widespread dense fog blanketed much of western Kentucky except for the Henderson and Owensboro areas. Visibility was reduced to one-quarter mile or less at times. The dense fog formed ahead of a warm front during the evening hours. Moist ground due to recent rainfall contributed to the fog. The fog persisted until a warm front passed during the mid-morning hours.,,CSV
201701,15,2200,201701,16,900,112890,674455,KENTUCKY,21,2017,0001-01-01,Dense Fog,Z,5,MCCRACKEN,PAH,15-JAN-17 22:00:00,CST-6,16-JAN-17 09:00:00,0,0,0,0,0.00K,0.00K,ASOS,,,,,,,,,,,,,,,,,,,,,,Widespread dense fog blanketed much of western Kentucky except for the Henderson and Owensboro areas. Visibility was reduced to one-quarter mile or less at times. The dense fog formed ahead of a warm front during the evening hours. Moist ground due to recent rainfall contributed to the fog. The fog persisted until a warm front passed during the mid-morning hours.,,CSV
201701,15,2200,201701,16,900,112890,674456,KENTUCKY,21,2017,0001-01-01,Dense Fog,Z,21,MUHLENBERG,PAH,15-JAN-17 22:00:00,CST-6,16-JAN-17 09:00:00,0,0,0,0,0.00K,0.00K,ASOS,,,,,,,,,,,,,,,,,,,,,,Widespread dense fog blanketed much of western Kentucky except for the Henderson and Owensboro areas. Visibility was reduced to one-quarter mile or less at times. The dense fog formed ahead of a warm front during the evening hours. Moist ground due to recent rainfall contributed to the fog. The fog persisted until a warm front passed during the mid-morning hours.,,CSV
201701,15,2200,201701,16,900,112890,674457,KENTUCKY,21,2017,0001-01-01,Dense Fog,Z,22,TODD,PAH,15-JAN-17 22:00:00,CST-6,16-JAN-17 09:00:00,0,0,0,0,0.00K,0.00K,ASOS,,,,,,,,,,,,,,,,,,,,,,Widespread dense fog blanketed much of western Kentucky except for the Henderson and Owensboro areas. Visibility was reduced to one-quarter mile or less at times. The dense fog formed ahead of a warm front during the evening hours. Moist ground due to recent rainfall contributed to the fog. The fog persisted until a warm front passed during the mid-morning hours.,,CSV
201701,15,2200,201701,16,900,112890,674459,KENTUCKY,21,2017,0001-01-01,Dense Fog,Z,12,TRIGG,PAH,15-JAN-17 22:00:00,CST-6,16-JAN-17 09:00:00,0,0,0,0,0.00K,0.00K,ASOS,,,,,,,,,,,,,,,,,,,,,,Widespread dense fog blanketed much of western Kentucky except for the Henderson and Owensboro areas. Visibility was reduced to one-quarter mile or less at times. The dense fog formed ahead of a warm front during the evening hours. Moist ground due to recent rainfall contributed to the fog. The fog persisted until a warm front passed during the mid-morning hours.,,CSV
201701,15,2200,201701,16,900,112890,674460,KENTUCKY,21,2017,0001-01-01,Dense Fog,Z,14,UNION,PAH,15-JAN-17 22:00:00,CST-6,16-JAN-17 09:00:00,0,0,0,0,0.00K,0.00K,ASOS,,,,,,,,,,,,,,,,,,,,,,Widespread dense fog blanketed much of western Kentucky except for the Henderson and Owensboro areas. Visibility was reduced to one-quarter mile or less at times. The dense fog formed ahead of a warm front during the evening hours. Moist ground due to recent rainfall contributed to the fog. The fog persisted until a warm front passed during the mid-morning hours.,,CSV
201701,15,2200,201701,16,900,112890,674461,KENTUCKY,21,2017,0001-01-01,Dense Fog,Z,15,WEBSTER,PAH,15-JAN-17 22:00:00,CST-6,16-JAN-17 09:00:00,0,0,0,0,0.00K,0.00K,ASOS,,,,,,,,,,,,,,,,,,,,,,Widespread dense fog blanketed much of western Kentucky except for the Henderson and Owensboro areas. Visibility was reduced to one-quarter mile or less at times. The dense fog formed ahead of a warm front during the evening hours. Moist ground due to recent rainfall contributed to the fog. The fog persisted until a warm front passed during the mid-morning hours.,,CSV
201701,15,2200,201701,16,900,112890,674447,KENTUCKY,21,2017,0001-01-01,Dense Fog,Z,1,FULTON,PAH,15-JAN-17 22:00:00,CST-6,16-JAN-17 09:00:00,0,0,0,0,0.00K,0.00K,ASOS,,,,,,,,,,,,,,,,,,,,,,Widespread dense fog blanketed much of western Kentucky except for the Henderson and Owensboro areas. Visibility was reduced to one-quarter mile or less at times. The dense fog formed ahead of a warm front during the evening hours. Moist ground due to recent rainfall contributed to the fog. The fog persisted until a warm front passed during the mid-morning hours.,,CSV
201701,15,2200,201701,16,900,112890,674448,KENTUCKY,21,2017,0001-01-01,Dense Fog,Z,6,GRAVES,PAH,15-JAN-17 22:00:00,CST-6,16-JAN-17 09:00:00,0,0,0,0,0.00K,0.00K,ASOS,,,,,,,,,,,,,,,,,,,,,,Widespread dense fog blanketed much of western Kentucky except for the Henderson and Owensboro areas. Visibility was reduced to one-quarter mile or less at times. The dense fog formed ahead of a warm front during the evening hours. Moist ground due to recent rainfall contributed to the fog. The fog persisted until a warm front passed during the mid-morning hours.,,CSV
201701,15,2200,201701,16,900,112890,674449,KENTUCKY,21,2017,0001-01-01,Dense Fog,Z,2,HICKMAN,PAH,15-JAN-17 22:00:00,CST-6,16-JAN-17 09:00:00,0,0,0,0,0.00K,0.00K,ASOS,,,,,,,,,,,,,,,,,,,,,,Widespread dense fog blanketed much of western Kentucky except for the Henderson and Owensboro areas. Visibility was reduced to one-quarter mile or less at times. The dense fog formed ahead of a warm front during the evening hours. Moist ground due to recent rainfall contributed to the fog. The fog persisted until a warm front passed during the mid-morning hours.,,CSV
201701,15,2200,201701,16,900,112890,674450,KENTUCKY,21,2017,0001-01-01,Dense Fog,Z,16,HOPKINS,PAH,15-JAN-17 22:00:00,CST-6,16-JAN-17 09:00:00,0,0,0,0,0.00K,0.00K,ASOS,,,,,,,,,,,,,,,,,,,,,,Widespread dense fog blanketed much of western Kentucky except for the Henderson and Owensboro areas. Visibility was reduced to one-quarter mile or less at times. The dense fog formed ahead of a warm front during the evening hours. Moist ground due to recent rainfall contributed to the fog. The fog persisted until a warm front passed during the mid-morning hours.,,CSV
201701,15,2200,201701,16,900,112890,674451,KENTUCKY,21,2017,0001-01-01,Dense Fog,Z,7,LIVINGSTON,PAH,15-JAN-17 22:00:00,CST-6,16-JAN-17 09:00:00,0,0,0,0,0.00K,0.00K,ASOS,,,,,,,,,,,,,,,,,,,,,,Widespread dense fog blanketed much of western Kentucky except for the Henderson and Owensboro areas. Visibility was reduced to one-quarter mile or less at times. The dense fog formed ahead of a warm front during the evening hours. Moist ground due to recent rainfall contributed to the fog. The fog persisted until a warm front passed during the mid-morning hours.,,CSV
201701,15,2200,201701,16,900,112890,674452,KENTUCKY,21,2017,0001-01-01,Dense Fog,Z,11,LYON,PAH,15-JAN-17 22:00:00,CST-6,16-JAN-17 09:00:00,0,0,0,0,0.00K,0.00K,ASOS,,,,,,,,,,,,,,,,,,,,,,Widespread dense fog blanketed much of western Kentucky except for the Henderson and Owensboro areas. Visibility was reduced to one-quarter mile or less at times. The dense fog formed ahead of a warm front during the evening hours. Moist ground due to recent rainfall contributed to the fog. The fog persisted until a warm front passed during the mid-morning hours.,,CSV
201701,15,2200,201701,16,900,112890,674441,KENTUCKY,21,2017,0001-01-01,Dense Fog,Z,4,BALLARD,PAH,15-JAN-17 22:00:00,CST-6,16-JAN-17 09:00:00,0,0,0,0,0.00K,0.00K,ASOS,,,,,,,,,,,,,,,,,,,,,,Widespread dense fog blanketed much of western Kentucky except for the Henderson and Owensboro areas. Visibility was reduced to one-quarter mile or less at times. The dense fog formed ahead of a warm front during the evening hours. Moist ground due to recent rainfall contributed to the fog. The fog persisted until a warm front passed during the mid-morning hours.,,CSV
201701,15,2200,201701,16,900,112890,674442,KENTUCKY,21,2017,0001-01-01,Dense Fog,Z,13,CALDWELL,PAH,15-JAN-17 22:00:00,CST-6,16-JAN-17 09:00:00,0,0,0,0,0.00K,0.00K,ASOS,,,,,,,,,,,,,,,,,,,,,,Widespread dense fog blanketed much of western Kentucky except for the Henderson and Owensboro areas. Visibility was reduced to one-quarter mile or less at times. The dense fog formed ahead of a warm front during the evening hours. Moist ground due to recent rainfall contributed to the fog. The fog persisted until a warm front passed during the mid-morning hours.,,CSV
201701,15,2200,201701,16,900,112890,674443,KENTUCKY,21,2017,0001-01-01,Dense Fog,Z,9,CALLOWAY,PAH,15-JAN-17 22:00:00,CST-6,16-JAN-17 09:00:00,0,0,0,0,0.00K,0.00K,ASOS,,,,,,,,,,,,,,,,,,,,,,Widespread dense fog blanketed much of western Kentucky except for the Henderson and Owensboro areas. Visibility was reduced to one-quarter mile or less at times. The dense fog formed ahead of a warm front during the evening hours. Moist ground due to recent rainfall contributed to the fog. The fog persisted until a warm front passed during the mid-morning hours.,,CSV
201701,15,2200,201701,16,900,112890,674444,KENTUCKY,21,2017,0001-01-01,Dense Fog,Z,3,CARLISLE,PAH,15-JAN-17 22:00:00,CST-6,16-JAN-17 09:00:00,0,0,0,0,0.00K,0.00K,ASOS,,,,,,,,,,,,,,,,,,,,,,Widespread dense fog blanketed much of western Kentucky except for the Henderson and Owensboro areas. Visibility was reduced to one-quarter mile or less at times. The dense fog formed ahead of a warm front during the evening hours. Moist ground due to recent rainfall contributed to the fog. The fog persisted until a warm front passed during the mid-morning hours.,,CSV
201701,15,2200,201701,16,900,112890,674445,KENTUCKY,21,2017,0001-01-01,Dense Fog,Z,17,CHRISTIAN,PAH,15-JAN-17 22:00:00,CST-6,16-JAN-17 09:00:00,0,0,0,0,0.00K,0.00K,ASOS,,,,,,,,,,,,,,,,,,,,,,Widespread dense fog blanketed much of western Kentucky except for the Henderson and Owensboro areas. Visibility was reduced to one-quarter mile or less at times. The dense fog formed ahead of a warm front during the evening hours. Moist ground due to recent rainfall contributed to the fog. The fog persisted until a warm front passed during the mid-morning hours.,,CSV
201701,15,2200,201701,16,900,112890,674446,KENTUCKY,21,2017,0001-01-01,Dense Fog,Z,10,CRITTENDEN,PAH,15-JAN-17 22:00:00,CST-6,16-JAN-17 09:00:00,0,0,0,0,0.00K,0.00K,ASOS,,,,,,,,,,,,,,,,,,,,,,Widespread dense fog blanketed much of western Kentucky except for the Henderson and Owensboro areas. Visibility was reduced to one-quarter mile or less at times. The dense fog formed ahead of a warm front during the evening hours. Moist ground due to recent rainfall contributed to the fog. The fog persisted until a warm front passed during the mid-morning hours.,,CSV
201701,2,1600,201701,3,600,112520,671037,KENTUCKY,21,2017,0001-01-01,Dense Fog,Z,1,FULTON,PAH,02-JAN-17 16:00:00,CST-6,03-JAN-17 06:00:00,0,0,0,0,0.00K,0.00K,ASOS,,,,,,,,,,,,,,,,,,,,,,"Widespread dense fog blanketed western Kentucky, except for areas from Madisonville south and east. Visibility was frequently reduced to one-quarter mile or less. A weak low pressure system over the Plains during the evening produced a mild southerly wind over moist ground. The low dissipated as it moved east across southern Illinois during the overnight hours. Light winds and cool nighttime temperatures maintained favorable conditions for dense fog.",,CSV
201701,2,1600,201701,3,600,112520,671036,KENTUCKY,21,2017,0001-01-01,Dense Fog,Z,2,HICKMAN,PAH,02-JAN-17 16:00:00,CST-6,03-JAN-17 06:00:00,0,0,0,0,0.00K,0.00K,ASOS,,,,,,,,,,,,,,,,,,,,,,"Widespread dense fog blanketed western Kentucky, except for areas from Madisonville south and east. Visibility was frequently reduced to one-quarter mile or less. A weak low pressure system over the Plains during the evening produced a mild southerly wind over moist ground. The low dissipated as it moved east across southern Illinois during the overnight hours. Light winds and cool nighttime temperatures maintained favorable conditions for dense fog.",,CSV
201701,2,1600,201701,3,600,112520,671038,KENTUCKY,21,2017,0001-01-01,Dense Fog,Z,5,MCCRACKEN,PAH,02-JAN-17 16:00:00,CST-6,03-JAN-17 06:00:00,0,0,0,0,0.00K,0.00K,ASOS,,,,,,,,,,,,,,,,,,,,,,"Widespread dense fog blanketed western Kentucky, except for areas from Madisonville south and east. Visibility was frequently reduced to one-quarter mile or less. A weak low pressure system over the Plains during the evening produced a mild southerly wind over moist ground. The low dissipated as it moved east across southern Illinois during the overnight hours. Light winds and cool nighttime temperatures maintained favorable conditions for dense fog.",,CSV
201701,2,1600,201701,3,600,112520,671039,KENTUCKY,21,2017,0001-01-01,Dense Fog,Z,6,GRAVES,PAH,02-JAN-17 16:00:00,CST-6,03-JAN-17 06:00:00,0,0,0,0,0.00K,0.00K,ASOS,,,,,,,,,,,,,,,,,,,,,,"Widespread dense fog blanketed western Kentucky, except for areas from Madisonville south and east. Visibility was frequently reduced to one-quarter mile or less. A weak low pressure system over the Plains during the evening produced a mild southerly wind over moist ground. The low dissipated as it moved east across southern Illinois during the overnight hours. Light winds and cool nighttime temperatures maintained favorable conditions for dense fog.",,CSV
201701,5,400,201701,5,2200,113066,676133,KENTUCKY,21,2017,0001-01-01,Winter Weather,Z,93,CAMPBELL,ILN,05-JAN-17 04:00:00,EST-5,05-JAN-17 22:00:00,0,0,0,0,,,CoCoRaHS,,,,,,,,,,,,,,,,,,,,,,A clipper system crossed south of the region during the morning of January 5th. Snowfall was generally on the order of one to three inches and ended by evening.,The CoCoRaHS observer east of Melbourne measured 2.4 inches of snow.,CSV
201701,2,1600,201701,3,600,112520,671040,KENTUCKY,21,2017,0001-01-01,Dense Fog,Z,9,CALLOWAY,PAH,02-JAN-17 16:00:00,CST-6,03-JAN-17 06:00:00,0,0,0,0,0.00K,0.00K,AWOS,,,,,,,,,,,,,,,,,,,,,,"Widespread dense fog blanketed western Kentucky, except for areas from Madisonville south and east. Visibility was frequently reduced to one-quarter mile or less. A weak low pressure system over the Plains during the evening produced a mild southerly wind over moist ground. The low dissipated as it moved east across southern Illinois during the overnight hours. Light winds and cool nighttime temperatures maintained favorable conditions for dense fog.",,CSV
201701,2,1600,201701,3,600,112520,671041,KENTUCKY,21,2017,0001-01-01,Dense Fog,Z,8,MARSHALL,PAH,02-JAN-17 16:00:00,CST-6,03-JAN-17 06:00:00,0,0,0,0,0.00K,0.00K,AWOS,,,,,,,,,,,,,,,,,,,,,,"Widespread dense fog blanketed western Kentucky, except for areas from Madisonville south and east. Visibility was frequently reduced to one-quarter mile or less. A weak low pressure system over the Plains during the evening produced a mild southerly wind over moist ground. The low dissipated as it moved east across southern Illinois during the overnight hours. Light winds and cool nighttime temperatures maintained favorable conditions for dense fog.",,CSV
201701,5,400,201701,5,2200,113066,676134,KENTUCKY,21,2017,0001-01-01,Winter Weather,Z,90,GALLATIN,ILN,05-JAN-17 04:00:00,EST-5,05-JAN-17 22:00:00,0,0,0,0,,,CoCoRaHS,,,,,,,,,,,,,,,,,,,,,,A clipper system crossed south of the region during the morning of January 5th. Snowfall was generally on the order of one to three inches and ended by evening.,The CoCoRaHS observer northwest of Glencoe measured 1.2 inches of snow.,CSV
201701,5,400,201701,5,2200,113066,676136,KENTUCKY,21,2017,0001-01-01,Winter Weather,Z,100,LEWIS,ILN,05-JAN-17 04:00:00,EST-5,05-JAN-17 22:00:00,0,0,0,0,,,Trained Spotter,,,,,,,,,,,,,,,,,,,,,,A clipper system crossed south of the region during the morning of January 5th. Snowfall was generally on the order of one to three inches and ended by evening.,A spotter south of Ribolt measured 2 inches of snow.,CSV
201701,5,400,201701,5,2200,113066,676137,KENTUCKY,21,2017,0001-01-01,Winter Weather,Z,99,MASON,ILN,05-JAN-17 04:00:00,EST-5,05-JAN-17 22:00:00,0,0,0,0,,,Social Media,,,,,,,,,,,,,,,,,,,,,,A clipper system crossed south of the region during the morning of January 5th. Snowfall was generally on the order of one to three inches and ended by evening.,A social media report from just west of Aberdeen showed that 3 inches of snow had fallen.,CSV
201701,2,1600,201701,3,600,112520,671042,KENTUCKY,21,2017,0001-01-01,Dense Fog,Z,7,LIVINGSTON,PAH,02-JAN-17 16:00:00,CST-6,03-JAN-17 06:00:00,0,0,0,0,0.00K,0.00K,AWOS,,,,,,,,,,,,,,,,,,,,,,"Widespread dense fog blanketed western Kentucky, except for areas from Madisonville south and east. Visibility was frequently reduced to one-quarter mile or less. A weak low pressure system over the Plains during the evening produced a mild southerly wind over moist ground. The low dissipated as it moved east across southern Illinois during the overnight hours. Light winds and cool nighttime temperatures maintained favorable conditions for dense fog.",,CSV
201701,2,1600,201701,3,600,112520,671043,KENTUCKY,21,2017,0001-01-01,Dense Fog,Z,10,CRITTENDEN,PAH,02-JAN-17 16:00:00,CST-6,03-JAN-17 06:00:00,0,0,0,0,0.00K,0.00K,AWOS,,,,,,,,,,,,,,,,,,,,,,"Widespread dense fog blanketed western Kentucky, except for areas from Madisonville south and east. Visibility was frequently reduced to one-quarter mile or less. A weak low pressure system over the Plains during the evening produced a mild southerly wind over moist ground. The low dissipated as it moved east across southern Illinois during the overnight hours. Light winds and cool nighttime temperatures maintained favorable conditions for dense fog.",,CSV
201701,2,1600,201701,3,600,112520,671044,KENTUCKY,21,2017,0001-01-01,Dense Fog,Z,11,LYON,PAH,02-JAN-17 16:00:00,CST-6,03-JAN-17 06:00:00,0,0,0,0,0.00K,0.00K,AWOS,,,,,,,,,,,,,,,,,,,,,,"Widespread dense fog blanketed western Kentucky, except for areas from Madisonville south and east. Visibility was frequently reduced to one-quarter mile or less. A weak low pressure system over the Plains during the evening produced a mild southerly wind over moist ground. The low dissipated as it moved east across southern Illinois during the overnight hours. Light winds and cool nighttime temperatures maintained favorable conditions for dense fog.",,CSV
201701,2,1600,201701,3,600,112520,671045,KENTUCKY,21,2017,0001-01-01,Dense Fog,Z,13,CALDWELL,PAH,02-JAN-17 16:00:00,CST-6,03-JAN-17 06:00:00,0,0,0,0,0.00K,0.00K,AWOS,,,,,,,,,,,,,,,,,,,,,,"Widespread dense fog blanketed western Kentucky, except for areas from Madisonville south and east. Visibility was frequently reduced to one-quarter mile or less. A weak low pressure system over the Plains during the evening produced a mild southerly wind over moist ground. The low dissipated as it moved east across southern Illinois during the overnight hours. Light winds and cool nighttime temperatures maintained favorable conditions for dense fog.",,CSV
201701,2,1600,201701,3,600,112520,671046,KENTUCKY,21,2017,0001-01-01,Dense Fog,Z,12,TRIGG,PAH,02-JAN-17 16:00:00,CST-6,03-JAN-17 06:00:00,0,0,0,0,0.00K,0.00K,AWOS,,,,,,,,,,,,,,,,,,,,,,"Widespread dense fog blanketed western Kentucky, except for areas from Madisonville south and east. Visibility was frequently reduced to one-quarter mile or less. A weak low pressure system over the Plains during the evening produced a mild southerly wind over moist ground. The low dissipated as it moved east across southern Illinois during the overnight hours. Light winds and cool nighttime temperatures maintained favorable conditions for dense fog.",,CSV
201701,2,1600,201701,3,600,112520,671047,KENTUCKY,21,2017,0001-01-01,Dense Fog,Z,18,HENDERSON,PAH,02-JAN-17 16:00:00,CST-6,03-JAN-17 06:00:00,0,0,0,0,0.00K,0.00K,AWOS,,,,,,,,,,,,,,,,,,,,,,"Widespread dense fog blanketed western Kentucky, except for areas from Madisonville south and east. Visibility was frequently reduced to one-quarter mile or less. A weak low pressure system over the Plains during the evening produced a mild southerly wind over moist ground. The low dissipated as it moved east across southern Illinois during the overnight hours. Light winds and cool nighttime temperatures maintained favorable conditions for dense fog.",,CSV
